"city","census_tract","ses_percentile","ses_score","pop_black","pop_female","pop_native_american","pop_non_citizen","pop_snap","pop_pacific_islander","avg_edu","median_income","median_rent","unemployed_percentage","percent_poverty_150"
"Pittsburgh",6037127910,82,1.96041963051811,-0.208898379942304,-0.434428434912894,-0.586360612434569,1.31078846238528,0.371479383691088,-0.547302736084111,-0.658583919810408,-0.574186948886477,-0.617758944736608,1.00965009272298,0.701686647102948
"Pittsburgh",6037127920,62,0.947405544436881,-0.453870448930043,0.866635963589769,-0.0521715805529986,0.576123654772407,0.808427490167478,0.865562508894012,0.00224499817013247,-0.50638226616578,-0.288148726426569,0.361126356425505,0.342348193890375
"Pittsburgh",6037128101,59,0.740800943491168,-0.340343767404432,0.299286120453281,-0.488391418201836,0.95134322744701,-0.0911320277385514,-0.547302736084111,0.209775048895906,-0.402109364397235,-0.372424066335386,0.512626602597937,0.120276676761717
"Pittsburgh",6037128102,77,1.60978278366704,-0.289967413802316,0.316935776192088,-0.0451083779787683,1.10359096096728,0.59917512375828,-0.547302736084111,-0.685229178325345,-0.443545559393217,-0.522246892839949,-0.0525027689609885,0.656556131985581
"Pittsburgh",6037128210,96,2.90610119919783,-0.195832003844006,-0.294756018408029,-0.0383810246816869,0.757578927850673,1.17174795166639,-0.547302736084111,-1.15712751025797,-0.58990977386519,-0.552211458140862,1.65984911320298,1.90533630381757
"Pittsburgh",6037128220,67,1.19105804303362,-0.251569869507607,-0.794205821750055,-0.586360612434569,0.0824950519508492,0.0029052603668776,-0.547302736084111,0.0250339157937499,-0.698495533874423,-0.636486798049679,0.192695619411556,1.11024792698379
"Pittsburgh",6037128302,78,1.63480169934287,-0.385138050497775,-0.603108490224199,-0.443248949046376,0.542748186894414,0.384910255411096,-0.357647799164056,-0.836807370762914,-0.398833775860003,-0.627122871393143,0.299414512975828,0.784022723580599
"Pittsburgh",6037128303,94,2.75664033824994,-0.501336295839029,-0.871860281529432,-0.586360612434569,1.08845636248614,1.26285616093595,-0.547302736084111,-1.47232491894087,-0.579209517976899,-0.349950642359701,1.1788608684533,1.32753275940718
"Pittsburgh",6037128400,35,-0.846056938534249,-0.356543705476597,0.478839025873694,-0.347421442819354,-0.257389199482445,0.0202218645074161,-0.547302736084111,0.546756365228946,-0.127560451834925,0.0826627691722249,-1.00438870460936,-0.813693283694665
"Pittsburgh",6037128500,29,-1.31312503867576,-0.0438954166740261,0.060593145498658,-0.586360612434569,-0.728070207780556,-0.584407393126848,-0.547302736084111,0.95241824502209,0.395660223845564,0.0639349158591545,-0.200628802628871,-0.635552142618224
"Pittsburgh",6037128601,58,0.728050914680677,-0.523160085947524,-0.0315918943518711,-0.0958327964590731,0.933818071202947,0.202147008968674,-0.489452053980853,0.146526347406603,-0.137496403731195,-0.439844338262439,0.567716611995487,0.169009819705708
"Pittsburgh",6037128602,33,-1.01614515844609,-0.583582398861998,-0.797528366360485,-0.474660697373309,-1.58976951415933,0.195235828265692,-0.547302736084111,0.704265703829986,-0.143829208236509,0.0302247798956278,-0.414352056343771,-0.731398308542125
"Pittsburgh",6037128702,20,-1.9746433785873,0.335163706466037,0.0690217035598,-0.574281105080616,-1.23666948469861,-0.924875778315581,-0.438676704222451,1.12515492699865,0.54994044394918,0.464710976758861,0.0871108301800093,-1.06529096880265
"Pittsburgh",6037128801,29,-1.32301218559054,0.197951764568707,1.07204362493524,0.540041986015303,-0.437214896231965,-1.26433792990282,-0.547302736084111,0.968364495953101,-0.206720508151359,-0.136453114590699,-0.490250007588055,-0.871201109311322
"Pittsburgh",6037128802,18,-2.0636888062891,-0.27401320888949,1.01491376424176,-0.586360612434569,-0.790307380593678,-0.000361871704341455,-0.547302736084111,1.23653942371799,0.726276293536824,0.309269794260377,-1.16406390871952,-1.29266816048739
"Pittsburgh",6037128910,19,-1.98754275881124,0.161063425251188,-0.686562521629723,-0.329261764523149,-1.10364127615932,-0.304984715418649,0.290791461353087,1.14232936376278,1.37025699995659,0.254959019652473,0.399540197143504,-1.08339372736865
